"","origin","destination","distance","population_origin","gdp_origin","population_destination","gdp_destination","trade","x_jj","trade_sum_destination"
"13142","IDN","KHM",2001.4856929657,206.264999389648,165020.53125,12.7443809509277,3668.39819335938,68.4000012121965,1632.50710449797,2035.89108886141
"13143","IND","KHM",3180.23953352337,1015.92297363281,460195.40625,12.7443809509277,3668.39819335938,9.28000016446175,1632.50710449797,2035.89108886141
"13144","IRL","KHM",10339.837893383,3.80539989471436,96166.390625,12.7443809509277,3668.39819335938,6.44000011413078,1632.50710449797,2035.89108886141
"13145","IRN","KHM",5906.7969087738,63.6640014648438,101286.515625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13146","IRQ","KHM",6502.01677459707,22.6760005950928,25857.10546875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13147","ISL","KHM",10428.013320388,0.28099998831749,8627.9970703125,12.7443809509277,3668.39819335938,0.130000002303882,1632.50710449797,2035.89108886141
"13148","ISR","KHM",7412.6506892868,6.28900003433228,115487.2109375,12.7443809509277,3668.39819335938,0.420000007443312,1632.50710449797,2035.89108886141
"13149","ITA","KHM",9334.4502484848,56.948600769043,1097344.125,12.7443809509277,3668.39819335938,15.4721602742003,1632.50710449797,2035.89108886141
"13150","JAM","KHM",16694.5881510303,2.5893886089325,8027.2646484375,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13151","JOR","KHM",7318.20284204388,4.7975001335144,8460.423828125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13152","JPN","KHM",4236.09113479996,126.870002746582,4649615,12.7443809509277,3668.39819335938,58.3900010347976,1632.50710449797,2035.89108886141
"13153","KAZ","KHM",5089.0062115654,14.8835887908936,18291.990234375,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
"13154","KGZ","KHM",4476.93564215107,4.91529989242554,1369.69189453125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13155","KNA","KHM",16092.1909667595,0.0442860014736652,329.203704833984,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13156","KOR","KHM",3591.27464938354,47.0081100463867,511657.53125,12.7443809509277,3668.39819335938,105.512221869906,1632.50710449797,2035.89108886141
"13157","KWT","KHM",6143.63424721527,2.19000005722046,37718.01171875,12.7443809509277,3668.39819335938,0.160000502835556,1632.50710449797,2035.89108886141
"13158","LAO","KHM",706.94608994019,5.22396993637085,1732.94714355469,12.7443809509277,3668.39819335938,0.0400000007088868,1632.50710449797,2035.89108886141
"13159","LBN","KHM",7354.77466092968,3.77228307723999,16821.890625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13160","LBY","KHM",9194.76881719932,5.30625009536743,34495.01171875,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13161","LKA","KHM",2728.50622905407,19.3589992523193,16331.8740234375,12.7443809509277,3668.39819335938,0.0400000007088868,1632.50710449797,2035.89108886141
"13162","LTU","KHM",8344.12802835884,3.49952745437622,11418.42578125,12.7443809509277,3668.39819335938,0.0014300000253427,1632.50710449797,2035.89108886141
"13163","LVA","KHM",8325.24984735489,2.37199997901917,7833.068359375,12.7443809509277,3668.39819335938,0.0505036408950341,1632.50710449797,2035.89108886141
"13164","MAC","KHM",1502.80554199219,0.443536996841431,5876.24658203125,12.7443809509277,3668.39819335938,0.975635117290372,1632.50710449797,2035.89108886141
"13165","MAR","KHM",11193.7893548302,28.4657192230225,33334.06640625,12.7443809509277,3668.39819335938,0.0238103804219716,1632.50710449797,2035.89108886141
"13166","MDA","KHM",7978.20084364662,4.14543676376343,1288.42016601562,12.7443809509277,3668.39819335938,0.0100000001772217,1632.50710449797,2035.89108886141
"13167","MDG","KHM",7150.43422254524,16.1950645446777,3877.5751953125,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13168","MEX","KHM",15295.377132605,97.9660034179688,581426.4375,12.7443809509277,3668.39819335938,0.0300000005316651,1632.50710449797,2035.89108886141
"13169","MKD","KHM",8569.12479152222,2.00951409339905,3586.88403320312,12.7443809509277,3668.39819335938,0.0374968006645247,1632.50710449797,2035.89108886141
"13170","MLT","KHM",9256.34777828522,0.389999985694885,3873.34545898438,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
"13171","MNG","KHM",4016.12836221266,2.39800000190735,941.2978515625,12.7443809509277,3668.39819335938,0,1632.50710449797,2035.89108886141
